variable,lambda,kappa
model,0.6852564996312586,0.3357376482674553
model,0.9282171685435194,0.5283950730145701
model,0.5637659416836482,0.2515720870670153
model,0.9079337075087464,0.48205086856102025
model,0.5793731698433571,0.2767096820460935
model,0.870901024219913,0.4237104804900177
model,0.758207755432939,0.36745066517596753
model,0.8930884853084888,0.5207138990832713
model,0.622481497246214,0.267733779339813
model,0.5216510657082333,0.22918797530750307
model,0.7183473108430241,0.3121169195499308
model,0.5687883911239677,0.28280303247630456
model,0.6497602978734184,0.2658150649162331
model,0.8397517249452843,0.34605966676970423
model,0.5660522500072857,0.3260307033475787
model,0.9928405272527768,0.7892431508665276
model,0.6639289592609199,0.31368052154258413
model,0.5223391809632677,0.2480089310012154
model,0.38231767601317157,0.17482404778157015
model,0.5825624597642051,0.2596711039403272
model,0.6846458445485162,0.3235568079606635
model,0.7735689878197903,0.2622009349218739
model,0.7899694089391035,0.25626503587669863
model,0.7597013237380709,0.3254365724976235
model,0.9762794624764543,0.5192712015555325
model,0.6283728291342137,0.3277580359306821
model,0.610348252370601,0.24075337652272014
model,0.6771185685379342,0.24180005973468305
model,0.48593769721418983,0.17840761771696043
model,0.4941025446101396,0.27035414586772255
model,0.7777550724848119,0.2918674446010075
model,0.535610381719237,0.2558449301948828
model,0.3893395238024551,0.18566901205603203
model,0.7869525030305349,0.4239227925129324
model,0.6156904312357425,0.24330835114943977
model,0.8080344893699243,0.41530257814604976
model,0.7548319863546132,0.3020949668210697
model,0.8194855852471508,0.3446537657835749
model,0.3028290771909317,0.17599927297144446
model,0.7116555265511204,0.35136979949506203
model,0.8617413265657174,0.4364955006127727
model,0.6570863926479313,0.3489643509293183
model,0.8989982026811799,0.4061652260159534
model,0.3683652605999662,0.26821889662552933
model,0.6410478665850271,0.29775475206376656
model,0.7107789201043488,0.2648633251921944
model,0.7959254136289092,0.3798612750013559
model,0.8738753668389554,0.48065513238328206
model,0.8581589514631505,0.4119227778347849
model,0.716691689022529,0.2967169442882362
model,0.7636541816688519,0.3728129581451358
model,0.9064801570022573,0.5186519215683568
model,0.6752188599550332,0.28910264669428887
model,0.6667444777165982,0.3746927357106332
model,0.6894290340751806,0.3570519757007579
model,0.6533472989180779,0.25535026390582305
model,0.6961139961565009,0.2717864513592743
model,0.7950408276286843,0.42495646178198065
model,0.7923597163906616,0.3852167517164291
model,0.4703571108881211,0.2705422939704416
model,0.836656001293956,0.38260410690135715
model,0.6513978453178852,0.3377000168742902
model,0.7733948867197931,0.30765858442808636
model,0.9153816322640465,0.476981567727035
model,0.5891553635537959,0.2864726948016155
model,0.6558604996885452,0.2942413681438244
model,0.8452548419480834,0.43627643280869455
model,0.9639202980021765,0.45361218559876765
model,0.8206411229237367,0.34139745912045866
model,0.7154810950342888,0.272842104275531
model,0.839864689722306,0.4228903895376922
model,0.8006993976472396,0.33846229256880705
model,0.738071366072624,0.34111877756471354
model,0.6864777324058079,0.20711575566116674
model,0.7493886657867727,0.2549064084553882
model,0.7663951692776343,0.3608122860921481
model,0.8309700016457726,0.3857461526798458
model,0.7119108159355247,0.2845205780306664
model,0.7734607551295033,0.39039694846664524
model,0.466926461080985,0.27179494061943665
model,0.669022682792744,0.31034489654810943
model,0.7210225836261542,0.2393667946447762
model,0.6471515119417331,0.3187773708748858
model,0.638595922038969,0.28907637645003226
model,0.5202246916858375,0.25349035063806213
model,0.5100292572769723,0.2629152375544638
model,0.6554949785016494,0.2271547470280619
model,0.6165874306172753,0.23617856662047568
model,0.5400662512742245,0.22275051700322668
model,0.91815125936593,0.44252927633995703
model,0.5517764664436758,0.17488243603599987
model,0.7908040096717743,0.40215863455153733
model,0.8351288157881497,0.36417495580987813
model,0.826267282637989,0.3429214556915475
model,0.4541081676875758,0.2345670316509776
model,0.63919818174624,0.3472467012211387
model,0.7989769284455285,0.31724821661630564
model,0.8009559663659059,0.37476472823182927
model,0.8264014105352829,0.3767583946918843
model,0.7333040686164491,0.35171682561850015
model,0.6859851927462989,0.30028402752058775
model,0.4271979559878266,0.25615505596132226
model,0.6062187840529806,0.29822544723311073
model,0.8384942124457421,0.37186749312872613
model,0.7692536099204685,0.34214836873092946
model,0.8332784359713266,0.36568140534149174
model,0.7573772861957521,0.3619617737651055
model,0.5956246336211003,0.30135922871419163
model,0.5932888100145117,0.22826440910018567
model,0.8178241450334708,0.33511536748278625
model,0.5240467975381471,0.21752648623297635
model,0.855769286405541,0.4223778584356323
